,Artist Name,Track Name,Popularity,danceability,energy,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
6,Solomon Burke,None Of Us Are Free,48.0,0.674,0.658,-9.647,0,0.104,0.404,0.0981,0.677,143.292,329387.0,4,2
15,Elmore James,Madison Blues,37.0,0.431,0.852,-6.522,1,0.0431,0.564,0.254,0.794,67.601,146800.0,4,2
38,Vieux Farka Touré,Bonheur,37.0,0.569,0.751,-12.826,1,0.0418,0.365,0.0561,0.758,105.156,338292.0,4,2
58,Dion,Blues Comin’ On,34.0,0.532,0.685,-6.577,0,0.0318,0.0208,0.303,0.648,140.036,288071.0,4,2
66,Mighty Sam McClain,When the Hurt Is Over,41.0,0.583,0.143,-15.786,1,0.148,0.676,0.117,0.533,156.009,371496.0,3,2
69,Keb' Mo',The Medicine Man [Feat. Old Crow Medicine Show],54.0,0.801,0.637,-6.406,1,0.0565,0.169,0.0925,0.769,77.012,218360.0,4,2
84,Keller Williams,Right Here,43.0,0.633,0.194,-14.543,1,0.0729,0.885,0.111,0.421,143.376,348383.0,4,2
86,Lil Son Jackson,Upstairs Boogie,35.0,0.593,0.438,-13.451,0,0.028,0.883,0.317,0.758,130.225,136560.0,3,2
89,Luther Allison,Soul Fixin' Man,13.0,0.529,0.595,-13.696,1,0.0375,0.0227,0.0326,0.767,134.642,187827.0,4,2
119,Henry Gray,Let's Get High,19.0,0.698,0.609,-6.993,1,0.0485,0.743,0.188,0.665,131.057,232413.0,4,2
134,Peter Case,Bumble Bee,45.0,0.717,0.245,-10.908,0,0.0493,0.665,0.385,0.502,83.554,214933.0,4,2
144,T-Bone Walker,Evil Hearted Woman - Alternate Take,30.0,0.624,0.26,-11.64,1,0.0621,0.904,0.0825,0.551,51.0,156933.0,4,2
177,John Campbell,Devil in My Closet,30.0,0.353,0.495,-11.503,1,0.0344,0.000119,0.13,0.567,81.018,360600.0,4,2
200,Rosie Flores,Simple Case of the Blues,38.0,0.65,0.63,-6.787,0,0.04,0.278,0.119,0.74,107.69,218747.0,4,2
236,Little G Weevil,Apple Picker (Acoustic),37.0,0.692,0.102,-11.721,1,0.061,0.818,0.337,0.475,114.136,336863.0,4,2
239,Ghost Town Blues Band,Tip of My Hat (Live),33.0,0.799,0.73,-6.648,1,0.0414,0.29,0.975,0.898,120.336,268650.0,4,2
260,Manal,Casa Con Diez Pinos,34.0,0.528,0.563,-6.975,1,0.041,0.706,0.149,0.652,168.403,254467.0,3,2
276,Edgar Winter's White Trash,Keep Playin' That Rock 'n' Roll,16.0,0.695,0.864,-9.509,1,0.0344,0.0935,0.222,0.962,129.613,224707.0,4,2
279,Michael Chapman,The Man Who Hated Mornings,33.0,0.551,0.58,-8.581,1,0.0363,0.493,0.213,0.473,63.321,247224.0,4,2
280,"Arthur ""Big Boy"" Crudup",My Mama Don't Allow Me,30.0,0.621,0.118,-14.222,1,0.0393,0.993,0.12,0.474,93.082,190041.0,4,2
289,Johnny Adams,It Ain't The Same Thing,12.0,0.916,0.537,-9.303,0,0.0358,0.241,0.0549,0.908,106.951,252907.0,4,2
303,The Allergies,Get Yourself Some,30.0,0.731,0.647,-7.937,0,0.0355,0.00487,0.34,0.879,108.017,180707.0,4,2
372,Freddie King,Going Down,59.0,0.565,0.526,-11.352,1,0.0365,0.0339,0.11,0.637,167.936,204333.0,4,2
